,elapsed_time,EventType,BlueBallsLeft,PurpleBallsLeft,BlueLives,PurpleLives
196,60.455,HitPurple,1,0,3,2
197,60.584,BlueDash,1,0,3,2
198,60.586,BluePickedUpBall,2,0,3,2
199,60.974,PurpleDash,2,0,3,2
200,61.098,BlueThrewBall,1,0,3,2
201,61.102,HitPurple,1,0,3,1
202,61.35,BlueThrewBall,0,0,3,1
203,61.354,BluePickedUpBall,1,0,3,1
204,61.6,BlueThrewBall,0,0,3,1
205,61.726,BlueDash,0,0,3,1
206,62.087,PurpleDash,0,0,3,1
207,62.73,BlueDash,0,0,3,1
208,63.114,PurpleDash,0,0,3,1
209,64.176,BlueDash,0,0,3,1
210,64.508,PurpleDash,0,0,3,1
211,65.874,BlueDash,0,0,3,1
212,68.353,PurpleDash,0,0,3,1
213,71.191,BlueDash,0,0,3,1
214,71.943,PurpleDash,0,0,3,1
215,72.301,BluePickedUpBall,1,0,3,1
216,72.52,BlueDash,1,0,3,1
217,73.603,PurplePickedUpBall,1,1,3,1
218,74.108,PurpleDash,1,1,3,1
219,74.781,PurpleThrewBall,1,0,3,1
220,74.782,BlueThrewBall,0,0,3,1
221,74.794,HitPurple,0,0,3,0
222,74.796,GameEnd,0,0,3,0
223,74.798,ResetScene,0,0,3,3
224,74.849,BlueDash,0,0,3,3
225,76.683,PurpleDash,0,0,3,3
226,77.1,BlueDash,0,0,3,3
227,77.446,BluePickedUpBall,1,0,3,3
228,77.717,PurplePickedUpBall,1,1,3,3
229,77.727,BluePickedUpBall,2,1,3,3
230,77.976,PurpleDash,2,1,3,3
231,78.119,PurplePickedUpBall,2,2,3,3
232,78.122,BlueDash,2,2,3,3
233,78.762,BluePickedUpBall,3,2,3,3
234,78.771,PurplePickedUpBall,3,3,3,3
235,78.891,BluePickedUpBall,4,3,3,3
236,79.014,PurpleThrewBall,4,2,3,3
237,79.274,HitBlue,4,2,2,3
238,79.288,BlueDash,4,2,2,3
239,79.519,PurpleDash,4,2,2,3
240,79.52,BlueThrewBall,3,2,2,3
241,79.84,PurpleThrewBall,3,1,2,3
242,79.862,HitBlue,3,1,1,3
243,79.979,BlueThrewBall,2,1,1,3
244,80.004,BluePickedUpBall,3,1,1,3
245,80.685,PurpleDash,3,1,1,3
246,80.686,BlueDash,3,1,1,3
247,80.687,BluePickedUpBall,4,1,1,3
248,81.102,PurpleThrewBall,4,0,1,3
249,82.349,BlueDash,4,0,1,3
250,82.362,PurpleDash,4,0,1,3
251,82.679,BlueThrewBall,3,0,1,3
252,83.227,BlueThrewBall,2,0,1,3
253,83.238,HitPurple,2,0,1,2
254,83.365,BlueDash,2,0,1,2
255,83.502,BlueThrewBall,1,0,1,2
256,83.627,PurpleDash,1,0,1,2
257,84.296,BlueThrewBall,0,0,1,2
258,84.409,HitPurple,0,0,1,1
259,84.658,BlueDash,0,0,1,1
260,84.669,BluePickedUpBall,1,0,1,1
261,84.799,PurpleDash,1,0,1,1
262,84.812,BlueThrewBall,0,0,1,1
263,85.707,BlueDash,0,0,1,1
264,86.778,PurpleDash,0,0,1,1
265,86.779,BlueDash,0,0,1,1
266,86.788,BluePickedUpBall,1,0,1,1
267,87.778,PurpleDash,1,0,1,1
268,87.778,BlueDash,1,0,1,1
269,87.787,BluePickedUpBall,2,0,1,1
270,88.991,PurpleDash,2,0,1,1
271,88.992,BlueDash,2,0,1,1
272,89.837,BluePickedUpBall,3,0,1,1
273,89.838,BlueThrewBall,2,0,1,1
274,89.841,HitPurple,2,0,1,0
275,89.841,GameEnd,2,0,1,0
276,89.842,ResetScene,0,0,3,3
277,90.36,BlueDash,0,0,3,3
278,90.476,PurpleDash,0,0,3,3
279,90.857,BluePickedUpBall,1,0,3,3
280,91.389,BlueDash,1,0,3,3
281,91.499,BluePickedUpBall,2,0,3,3
282,91.517,PurpleDash,2,0,3,3
283,91.748,PurplePickedUpBall,2,1,3,3
284,92.573,BlueDash,2,1,3,3
285,92.697,BluePickedUpBall,3,1,3,3
286,92.834,PurpleDash,3,1,3,3
287,93.262,PurpleThrewBall,3,0,3,3
288,93.669,BluePickedUpBall,4,0,3,3
289,93.867,BlueThrewBall,3,0,3,3
290,93.868,BlueDash,3,0,3,3
291,93.873,HitPurple,3,0,3,2
292,93.876,PurplePickedUpBall,3,1,3,2
293,94.016,PurpleThrewBall,3,0,3,2
294,94.019,HitBlue,3,0,2,2
295,94.138,BlueThrewBall,2,0,2,2
296,94.288,PurpleDash,2,0,2,2
297,94.399,BlueThrewBall,1,0,2,2
298,94.401,HitPurple,1,0,2,1
299,94.782,BlueThrewBall,0,0,2,1
300,94.793,HitPurple,0,0,2,0
301,94.798,GameEnd,0,0,2,0
302,94.799,ResetScene,0,0,3,3
303,95.173,BlueDash,0,0,3,3
304,95.886,PurplePickedUpBall,0,1,3,3
305,95.888,PurpleDash,0,1,3,3
306,96.353,BlueDash,0,1,3,3
307,96.363,BluePickedUpBall,1,1,3,3
